Start Time, Tue Oct 16 16:31:50 GMT+0100 2018,,
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s),172800,,
Real Time (s),172808.0431,,
Elapsed Computational,0,,
Spectrum,,,
Channel, Energy (keV), Counts,
1834,1834,31,
1835,1835,31,
1836,1836,26,
1837,1837,29,
1838,1838,35,
1839,1839,28,
1840,1840,46,
1841,1841,37,
1842,1842,34,
1843,1843,31,
1844,1844,27,
1845,1845,36,
1846,1846,33,
1847,1847,38,
1848,1848,33,
1849,1849,29,
1850,1850,32,
1851,1851,36,
1852,1852,34,
1853,1853,39,
1854,1854,31,
1855,1855,36,
1856,1856,36,
1857,1857,28,
1858,1858,32,
1859,1859,39,
1860,1860,22,
1861,1861,32,
1862,1862,31,
1863,1863,27,
1864,1864,39,
1865,1865,31,
1866,1866,33,
1867,1867,30,
1868,1868,20,
1869,1869,24,
1870,1870,29,
1871,1871,32,
1872,1872,47,
1873,1873,30,
1874,1874,28,
1875,1875,46,
1876,1876,29,
1877,1877,33,
1878,1878,28,
1879,1879,36,
1880,1880,23,
1881,1881,36,
1882,1882,24,
1883,1883,31,
1884,1884,24,
1885,1885,25,
1886,1886,35,
1887,1887,26,
1888,1888,27,
1889,1889,30,
1890,1890,25,
1891,1891,25,
1892,1892,25,
1893,1893,38,
1894,1894,32,
1895,1895,22,
1896,1896,30,
1897,1897,20,
1898,1898,23,
1899,1899,36,
1900,1900,37,
1901,1901,29,
1902,1902,32,
1903,1903,32,
1904,1904,37,
1905,1905,40,
1906,1906,32,
1907,1907,28,
1908,1908,26,
1909,1909,27,
1910,1910,33,
1911,1911,18,
1912,1912,35,
1913,1913,26,
1914,1914,22,
1915,1915,28,
1916,1916,36,
1917,1917,35,
1918,1918,21,
1919,1919,27,
1920,1920,22,
1921,1921,31,
1922,1922,21,
1923,1923,34,
1924,1924,23,
1925,1925,40,
1926,1926,24,
1927,1927,29,
1928,1928,21,
1929,1929,33,
1930,1930,29,
1931,1931,23,
1932,1932,27,
1933,1933,17,
1934,1934,32,
1935,1935,31,
1936,1936,31,
1937,1937,34,
1938,1938,19,
1939,1939,26,
1940,1940,32,
1941,1941,20,
1942,1942,27,
1943,1943,21,
1944,1944,24,
1945,1945,30,
1946,1946,28,
1947,1947,30,
1948,1948,29,
1949,1949,23,
1950,1950,24,
1951,1951,31,
1952,1952,28,
1953,1953,27,
1954,1954,31,
1955,1955,25,
1956,1956,21,
1957,1957,30,
1958,1958,29,
1959,1959,24,
1960,1960,22,
1961,1961,21,
1962,1962,36,
1963,1963,26,
1964,1964,27,
1965,1965,26,
1966,1966,19,
1967,1967,27,
1968,1968,28,
1969,1969,24,
1970,1970,16,
1971,1971,31,
1972,1972,28,
1973,1973,23,
1974,1974,29,
1975,1975,22,
1976,1976,26,
1977,1977,31,
1978,1978,22,
1979,1979,20,
1980,1980,25,
1981,1981,20,
1982,1982,27,
1983,1983,30,
1984,1984,26,
1985,1985,18,
1986,1986,28,
1987,1987,20,
1988,1988,22,
1989,1989,13,
1990,1990,28,
1991,1991,35,
1992,1992,26,
1993,1993,33,
1994,1994,31,
1995,1995,28,
1996,1996,21,
1997,1997,30,
1998,1998,26,
1999,1999,18,
2000,2000,24,
2001,2001,24,
2002,2002,23,
2003,2003,36,
2004,2004,15,
2005,2005,25,
2006,2006,29,
2007,2007,23,
2008,2008,25,
2009,2009,23,
2010,2010,23,
2011,2011,21,
2012,2012,22,
2013,2013,24,
2014,2014,35,
2015,2015,31,
2016,2016,25,
2017,2017,26,
2018,2018,25,
2019,2019,22,
2020,2020,23,
2021,2021,25,
2022,2022,28,
2023,2023,23,
2024,2024,24,
2025,2025,19,
2026,2026,24,
2027,2027,22,
2028,2028,25,
2029,2029,35,
2030,2030,26,
2031,2031,24,
2032,2032,21,
2033,2033,25,
2034,2034,28,
2035,2035,22,
2036,2036,25,
2037,2037,23,
2038,2038,22,
2039,2039,12,
2040,2040,25,
2041,2041,25,
2042,2042,29,
2043,2043,23,
2044,2044,24,
2045,2045,31,
2046,2046,18,
2047,2047,27,
2048,2048,28,
